2020-12-15 14:49:01 - configuration_utils.py[line:281] - INFO: loading configuration file ./pretrained_model/chinese-roberta-wwm-ext-large\config.json
2020-12-15 14:49:01 - configuration_utils.py[line:319] - INFO: Model config BertConfig {
  "_num_labels": 2,
  "architectures": [
    "BertForMaskedLM"
  ],
  "attention_probs_dropout_prob": 0.1,
  "bad_words_ids": null,
  "bos_token_id": 0,
  "decoder_start_token_id": null,
  "directionality": "bidi",
  "do_sample": false,
  "early_stopping": false,
  "eos_token_id": 2,
  "finetuning_task": null,
  "hidden_act": "gelu",
  "hidden_dropout_prob": 0.1,
  "hidden_size": 1024,
  "id2label": {
    "0": "LABEL_0",
    "1": "LABEL_1"
  },
  "initializer_range": 0.02,
  "intermediate_size": 4096,
  "is_decoder": false,
  "is_encoder_decoder": false,
  "label2id": {
    "LABEL_0": 0,
    "LABEL_1": 1
  },
  "layer_norm_eps": 1e-12,
  "length_penalty": 1.0,
  "max_length": 20,
  "max_position_embeddings": 512,
  "min_length": 0,
  "model_type": "bert",
  "no_repeat_ngram_size": 0,
  "num_attention_heads": 16,
  "num_beams": 1,
  "num_hidden_layers": 24,
  "num_return_sequences": 1,
  "output_attentions": false,
  "output_hidden_states": false,
  "output_past": true,
  "pad_token_id": 1,
  "pooler_fc_size": 768,
  "pooler_num_attention_heads": 12,
  "pooler_num_fc_layers": 3,
  "pooler_size_per_head": 128,
  "pooler_type": "first_token_transform",
  "prefix": null,
  "pruned_heads": {},
  "repetition_penalty": 1.0,
  "task_specific_params": null,
  "temperature": 1.0,
  "top_k": 50,
  "top_p": 1.0,
  "torchscript": false,
  "type_vocab_size": 2,
  "use_bfloat16": false,
  "vocab_size": 21128
}

2020-12-15 14:49:01 - modeling_utils.py[line:505] - INFO: loading weights file ./pretrained_model/chinese-roberta-wwm-ext-large\pytorch_model.bin
2020-12-15 14:49:38 - train.py[line:105] - INFO: epoch 0, step 50, loss 55.2975, start_f1 0.0083, end_f1 0.0202
2020-12-15 14:49:56 - train.py[line:105] - INFO: epoch 0, step 100, loss 63.7477, start_f1 0.0046, end_f1 0.0000
2020-12-15 14:50:15 - train.py[line:105] - INFO: epoch 0, step 150, loss 33.3742, start_f1 0.0080, end_f1 0.0189
2020-12-15 14:50:33 - train.py[line:105] - INFO: epoch 0, step 200, loss 53.0331, start_f1 0.0126, end_f1 0.0351
2020-12-15 14:50:52 - train.py[line:105] - INFO: epoch 0, step 250, loss 25.3512, start_f1 0.0058, end_f1 0.0000
2020-12-15 14:51:10 - train.py[line:105] - INFO: epoch 0, step 300, loss 16.7784, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:51:29 - train.py[line:105] - INFO: epoch 0, step 350, loss 10.4222, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:51:47 - train.py[line:105] - INFO: epoch 0, step 400, loss 10.1982, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:52:06 - train.py[line:105] - INFO: epoch 0, step 450, loss 7.2466, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:52:25 - train.py[line:105] - INFO: epoch 0, step 500, loss 7.6086, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:52:43 - train.py[line:105] - INFO: epoch 0, step 550, loss 6.7484, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:53:02 - train.py[line:105] - INFO: epoch 0, step 600, loss 5.9793, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:53:21 - train.py[line:105] - INFO: epoch 0, step 650, loss 5.8589, start_f1 0.1481, end_f1 0.0000
2020-12-15 14:53:39 - train.py[line:105] - INFO: epoch 0, step 700, loss 4.9304, start_f1 0.0000, end_f1 0.2000
2020-12-15 14:53:58 - train.py[line:105] - INFO: epoch 0, step 750, loss 6.7498, start_f1 0.0131, end_f1 0.1538
2020-12-15 14:54:16 - train.py[line:105] - INFO: epoch 0, step 800, loss 3.7147, start_f1 0.1739, end_f1 0.2667
2020-12-15 14:54:35 - train.py[line:105] - INFO: epoch 0, step 850, loss 6.2998, start_f1 0.0690, end_f1 0.0000
2020-12-15 14:54:54 - train.py[line:105] - INFO: epoch 0, step 900, loss 4.1446, start_f1 0.0952, end_f1 0.3529
2020-12-15 14:55:13 - train.py[line:105] - INFO: epoch 0, step 950, loss 1.1693, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:55:31 - train.py[line:105] - INFO: epoch 0, step 1000, loss 4.0105, start_f1 0.1143, end_f1 0.1316
2020-12-15 14:55:50 - train.py[line:105] - INFO: epoch 0, step 1050, loss 4.3004, start_f1 0.0741, end_f1 0.2667
2020-12-15 14:56:09 - train.py[line:105] - INFO: epoch 0, step 1100, loss 3.1872, start_f1 0.0000, end_f1 0.0000
2020-12-15 14:56:27 - train.py[line:105] - INFO: epoch 0, step 1150, loss 1.6312, start_f1 0.1333, end_f1 0.3333
2020-12-15 14:56:46 - train.py[line:105] - INFO: epoch 0, step 1200, loss 5.0148, start_f1 0.1176, end_f1 0.2353
2020-12-15 14:57:05 - train.py[line:105] - INFO: epoch 0, step 1250, loss 2.2902, start_f1 0.0909, end_f1 0.3077
